Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7piw0SrFyHjJwOivGxdrnb,"I Like To Party","I Like To Party","AXMO;DJ Junior (TW)",2022-09-16,159483,55,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:56:36Z,"big room,hardstyle,hypertechno","Rave Culture",0.553,0.803,6,-5.066,0,0.0973,0.00232,0.00000106,0.27,0.368,154.952,4
spotify:track:2FbuPBaAou9SppaEF0ujCD,"A Walk In The Forest","A Walk In The Forest","Pribe",2023-02-23,363428,13,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:29Z,"psytrance,progressive trance","Psyfeature",0.693,0.917,6,-6.654,0,0.0686,0.00253,0.85,0.635,0.046,139.977,4
spotify:track:120wRpjIVtKvMdkQ1gEfCt,"Middle Ground","Middle Ground","Memento Mori;Massivebass;Massivo",2023-01-05,268137,21,false,ocifamtv1z7as35vkc29ko9m5,2023-05-12T21:29:18Z,"psytrance,progressive trance,trance","Psyfeature",0.756,0.789,2,-6.818,1,0.0494,0.00116,0.904,0.096,0.218,145.005,4
spotify:track:12kEO1dRdm31qliqSTQylT,"Drivin Me Insane","Drivin Me Insane","Johnny Carrera;Memento Mori;Lil Umali",2022-12-15,195724,31,false,ocifamtv1z7as35vkc29ko9m5,2023-05-12T21:45:12Z,"psytrance,progressive trance","Psyfeature",0.766,0.931,6,-7.446,1,0.0862,0.0309,0.498,0.0959,0.467,145.055,4
spotify:track:7FoZZYaqVsttknAC90Qa2G,"Anxiety Society","Psychedelic Selections Vol 007 DJ Mix","Headroom (SA)",2023-01-13,194363,28,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:33Z,"psytrance,progressive trance,trance","Iboga Records",0.778,0.699,2,-8.794,1,0.173,0.000339,0.682,0.139,0.0922,138.024,4
spotify:track:254692vwx0pCzwKc9njNae,"Loca People","Loca People","Vandeta",2020-06-02,248516,32,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:36Z,"psytrance,progressive trance,trance","Quantum Digital",0.651,0.895,7,-5.519,1,0.125,0.0423,0.335,0.312,0.281,142.015,4
spotify:track:6uTPIY6UEIk1D9rsCJai6X,"Olympus","Olympus","Vertigos",2022-07-08,340000,16,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:39Z,"psytrance,trance","Bandora Records",0.534,0.833,9,-4.298,1,0.0364,0.011,0.685,0.646,0.382,143.996,4
spotify:track:0o3w18l2cLJNZNJHwQySjO,"LSD","LSD","Fresh Drop;Lil Umali",2022-09-30,250285,21,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:43Z,"psytrance,epadunk,progressive trance","Psyfeature",0.773,0.742,6,-7.395,0,0.144,0.00398,0.128,0.167,0.365,150.011,4
spotify:track:2jXHT1ENK0Vwkv6AvTSvyI,"Unconditional","The Day Off","Poldoore;Will Magid",2014-02-18,274288,46,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:47Z,"jazz beats,lo-fi beats,trip hop,nu jazz,electro swing","Cold Busted",0.595,0.669,11,-6.159,1,0.0595,0.00248,0.0484,0.0612,0.449,167.96,4
spotify:track:2F9aUvwtYgrMbHm2TlVYzd,"Morning Glory","The Day Off","Poldoore",2014-02-18,218253,40,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T00:58:50Z,"jazz beats,lo-fi beats,trip hop,nu jazz","Cold Busted",0.52,0.704,7,-4.821,0,0.163,0.0353,0.177,0.312,0.541,85.031,4
spotify:track:7MTf21ZNyUcmHFWyIkopYp,"Get Schwifty","Get Schwifty","Trip-Tamine;Fresh Drop;Lil Umali;Skadioya",2023-03-09,298500,15,true,ocifamtv1z7as35vkc29ko9m5,2023-05-05T01:10:38Z,"psytrance,progressive trance,epadunk","Blue Tunes Records",0.734,0.852,10,-8.649,0,0.158,0.09,0.0077,0.199,0.345,160.039,4
spotify:track:52xoX40CsLTetmL8QoHcs3,"Take My Time","Take My Time","Johnny Carrera",2023-03-17,247605,18,false,ocifamtv1z7as35vkc29ko9m5,2023-05-05T01:19:33Z,"psytrance,progressive trance","Psyfeature",0.511,0.596,9,-7.708,1,0.12,0.0734,0.582,0.096,0.399,142.002,4
